,Unnamed: 0.1,Unnamed: 0,service_date,route_id,direction,half_trip_id,stop_id,time_point_id,time_point_order,point_type,standard_type,scheduled,actual,scheduled_headway,headway,earliness,delta
520,574,33328,2020-04-01,39,Inbound,47228634.0,10642,fhill,1.0,Startpoint,Headway,1900-01-01 16:26:00,1900-01-01 16:24:29,600.0,424.0,,91.0
566,626,33380,2020-04-01,39,Inbound,47228582.0,31317,hlong,6.0,Midpoint,Headway,1900-01-01 17:19:00,1900-01-01 17:11:35,600.0,781.0,,445.0
1520,1668,34422,2020-04-01,39,Outbound,47228575.0,31365,heath,6.0,Midpoint,Headway,1900-01-01 20:46:00,1900-01-01 20:44:51,720.0,920.0,,69.0
1566,1725,34479,2020-04-01,39,Outbound,47222881.0,11388,hunbv,2.0,Midpoint,Headway,1900-01-01 22:07:00,1900-01-01 22:05:16,900.0,463.0,,104.0
2520,2760,101348,2020-04-02,39,Inbound,47232145.0,11131,shunt,3.0,Midpoint,Headway,1900-01-01 23:12:00,1900-01-01 23:12:11,840.0,826.0,,11.0
2566,2806,101394,2020-04-02,39,Inbound,47232139.0,31317,hlong,6.0,Midpoint,Headway,1900-01-02 00:13:00,1900-01-02 00:14:23,840.0,1074.0,,83.0
3520,3851,168262,2020-04-03,39,Inbound,47246979.0,1128,jpctr,2.0,Midpoint,Headway,1900-01-01 09:32:00,1900-01-01 09:31:57,720.0,723.0,,3.0
3566,3897,168308,2020-04-03,39,Inbound,47247002.0,81317,nuniv,7.0,Midpoint,Headway,1900-01-01 10:25:00,1900-01-01 10:20:33,720.0,801.0,,267.0
4520,4902,169313,2020-04-03,39,Outbound,47246985.0,91391,hlong,4.0,Midpoint,Headway,1900-01-01 12:15:00,1900-01-01 12:11:14,780.0,713.0,,226.0
4566,4953,169364,2020-04-03,39,Outbound,47247105.0,1939,jpctr,8.0,Midpoint,Headway,1900-01-01 13:23:00,1900-01-01 13:14:30,600.0,590.0,,510.0
5520,5967,234852,2020-04-04,39,Inbound,47256218.0,1317,brghm,5.0,Midpoint,Headway,1900-01-01 14:45:00,1900-01-01 14:37:18,600.0,590.0,,462.0
5566,6018,234903,2020-04-04,39,Inbound,47256253.0,10642,fhill,1.0,Startpoint,Headway,1900-01-01 15:36:00,1900-01-01 15:37:04,600.0,724.0,,64.0
6520,7060,235945,2020-04-04,39,Outbound,47256225.0,1363,brghm,5.0,Midpoint,Headway,1900-01-01 20:05:00,1900-01-01 20:00:23,1380.0,1210.0,,277.0
6566,7120,236005,2020-04-04,39,Outbound,47250551.0,1939,jpctr,8.0,Midpoint,Headway,1900-01-01 21:58:00,1900-01-01 21:48:12,900.0,1143.0,,588.0
7520,8101,290294,2020-04-05,39,Outbound,47262463.0,10642,fhill,9.0,Endpoint,Headway,1900-01-01 07:24:00,1900-01-01 07:20:57,900.0,784.0,,183.0
7566,8147,290340,2020-04-05,39,Outbound,47262447.0,91391,hlong,4.0,Midpoint,Headway,1900-01-01 08:45:00,1900-01-01 08:45:55,1020.0,1208.0,,55.0
8520,9214,346821,2020-04-06,39,Inbound,47271186.0,23391,bbsta,10.0,Endpoint,Headway,1900-01-01 14:03:00,1900-01-01 13:45:20,600.0,943.0,,1060.0
8566,9260,346867,2020-04-06,39,Inbound,47271181.0,11131,shunt,3.0,Midpoint,Headway,1900-01-01 14:57:00,1900-01-01 14:55:30,660.0,692.0,,90.0
9520,10276,347883,2020-04-06,39,Outbound,47271120.0,41391,nuniv,3.0,Midpoint,Headway,1900-01-01 18:49:00,1900-01-01 18:48:50,660.0,389.0,,10.0
9566,10322,347929,2020-04-06,39,Outbound,47271152.0,23391,bbsta,1.0,Startpoint,Headway,1900-01-01 19:51:00,1900-01-01 19:52:31,1440.0,1435.0,,91.0
10520,11380,414869,2020-04-07,39,Inbound,47299270.0,11131,shunt,3.0,Midpoint,Headway,1900-01-01 23:12:00,1900-01-01 23:12:18,840.0,826.0,,18.0
