day,High_f,low_f,precip_inches,snow_inches
2020-01-01,43,36,0.0,0.0
2020-01-02,49,34,0.0,0.0
2020-01-03,52,44,0.0,0.0
2020-01-04,48,40,0.13,0.0
2020-01-05,41,32,0.11,0.0
2020-01-06,41,27,0.0,0.0
2020-01-07,42,33,0.0,0.0
2020-01-08,45,29,0.02,0.1
2020-01-09,33,22,0.0,0.0
2020-01-10,53,29,0.0,0.0
2020-01-11,70,49,0.0,0.0
2020-01-12,74,40,0.02,0.0
2020-01-13,43,36,0.01,0.0
2020-01-14,42,37,0.0,0.0
2020-01-15,52,39,0.0,0.0
2020-01-16,47,30,0.1,0.0
2020-01-17,30,16,0.0,0.0
2020-01-18,33,14,0.28,3.0
2020-01-19,45,24,0.02,0.0
2020-01-20,30,19,0.0,0.0
2020-01-21,28,18,0.0,0.0
2020-01-22,39,20,0.0,0.0
2020-01-23,50,26,0.0,0.0
2020-01-24,48,34,0.0,0.0
2020-01-25,50,40,0.7,0.0
2020-01-26,51,40,0.0,0.0
2020-01-27,48,39,0.0,0.0
2020-01-28,42,36,0.0,0.0
2020-01-29,43,29,0.0,0.0
2020-01-30,33,22,0.0,0.0
2020-01-31,47,29,0.0,0.0
2020-02-01,41,34,0.02,0.0
2020-02-02,44,36,0.0,0.0
2020-02-03,50,35,0.0,0.0
2020-02-04,47,35,0.0,0.0
2020-02-05,43,33,0.05,0.0
2020-02-06,41,34,0.44,0.3
2020-02-07,56,30,0.32,0.0
2020-02-08,37,25,0.0,0.0
2020-02-09,38,20,0.0,0.0
2020-02-10,47,38,0.16,0.0
2020-02-11,45,40,0.17,0.0
2020-02-12,45,37,0.0,0.0
2020-02-13,41,35,0.53,0.2
2020-02-14,40,15,0.0,0.0
2020-02-15,31,12,0.0,0.0
2020-02-16,46,29,0.0,0.0
2020-02-17,49,31,0.0,0.0
2020-02-18,42,31,0.45,0.0
2020-02-19,46,32,0.0,0.0
2020-02-20,37,24,0.0,0.0
2020-02-21,33,17,0.0,0.0
2020-02-22,49,29,0.0,0.0
2020-02-23,58,34,0.0,0.0
2020-02-24,64,35,0.0,0.0
2020-02-25,53,43,0.26,0.0
2020-02-26,48,44,0.15,0.0
2020-02-27,55,33,0.75,0.0
2020-02-28,38,28,0.0,0.0
2020-02-29,35,22,0.0,0.0
2020-03-01,33,19,0.0,0.0
2020-03-02,52,23,0.0,0.0
2020-03-03,59,46,0.03,0.0
2020-03-04,50,41,0.03,0.0
2020-03-05,51,37,0.0,0.0
2020-03-06,44,32,0.0,0.0
2020-03-07,45,29,0.0,0.0
2020-03-08,53,31,0.0,0.0
2020-03-09,72,42,0.0,0.0
2020-03-10,66,40,0.0,0.0
2020-03-11,59,37,0.0,0.0
2020-03-12,43,34,0.0,0.0
2020-03-13,62,40,0.29,0.0
2020-03-14,53,38,0.0,0.0
2020-03-15,43,30,0.0,0.0
2020-03-16,35,24,0.0,0.0
2020-03-17,45,31,0.03,0.0
2020-03-18,51,37,0.0,0.0
2020-03-19,42,39,0.56,0.0
2020-03-20,68,38,0.02,0.0
2020-03-21,57,31,0.0,0.0
2020-03-22,33,25,0.0,0.0
2020-03-23,41,28,1.38,0.0
2020-03-24,49,34,0.35,0.0
2020-03-25,43,37,0.0,0.0
2020-03-26,46,32,0.0,0.0
2020-03-27,61,43,0.01,0.0
2020-03-28,48,36,0.08,0.0
2020-03-29,43,39,0.74,0.0
2020-03-30,43,37,0.08,0.0
2020-03-31,40,33,0.0,0.0
2020-04-01,43,31,0.0,0.0
2020-04-02,47,39,0.13,0.0
2020-04-03,45,41,0.83,0.0
2020-04-04,44,39,0.04,0.0
2020-04-05,54,39,0.0,0.0
2020-04-06,62,44,0.0,0.0
2020-04-07,62,46,0.0,0.0
2020-04-08,48,42,0.07,0.0
2020-04-09,48,41,0.64,0.0
2020-04-10,48,38,0.01,0.0
2020-04-11,52,37,0.0,0.0
2020-04-12,60,35,0.0,0.0
2020-04-13,60,51,0.56,0.0
2020-04-14,58,45,0.0,0.0
2020-04-15,53,38,0.0,0.0
2020-04-16,47,34,0.0,0.0
2020-04-17,49,34,0.01,0.0
2020-04-18,41,32,0.67,0.7
2020-04-19,61,37,0.0,0.0
2020-04-20,51,38,0.0,0.0
2020-04-21,54,34,0.33,0.0
2020-04-22,44,34,0.0,0.0
2020-04-23,55,34,0.0,0.0
2020-04-24,45,39,0.21,0.0
2020-04-25,53,37,0.0,0.0
2020-04-26,47,41,0.22,0.0
2020-04-27,42,37,0.6,0.0
2020-04-28,44,38,0.01,0.0
2020-04-29,49,38,0.0,0.0
2020-04-30,50,44,0.0,0.0
2020-05-01,62,48,0.79,0.0
2020-05-02,70,46,0.01,0.0
2020-05-03,78,53,0.0,0.0
2020-05-04,70,48,0.0,0.0
2020-05-05,58,44,0.0,0.0
2020-05-06,51,41,0.01,0.0
2020-05-07,64,42,0.0,0.0
2020-05-08,57,43,0.25,0.0
2020-05-09,44,36,0.12,0.0
2020-05-10,60,34,0.0,0.0
2020-05-11,62,44,0.23,0.0
2020-05-12,56,41,0.0,0.0
2020-05-13,60,37,0.0,0.0
2020-05-14,69,45,0.0,0.0
2020-05-15,74,51,0.67,0.0
2020-05-16,68,49,0.04,0.0
2020-05-17,63,49,0.0,0.0
2020-05-18,58,47,0.0,0.0
2020-05-19,55,47,0.0,0.0
2020-05-20,58,45,0.0,0.0
2020-05-21,77,45,0.0,0.0
2020-05-22,82,54,0.0,0.0
2020-05-23,72,47,0.0,0.0
2020-05-24,54,44,0.0,0.0
2020-05-25,55,48,0.0,0.0
2020-05-26,70,50,0.0,0.0
2020-05-27,83,60,0.0,0.0
2020-05-28,78,64,0.0,0.0
2020-05-29,81,66,0.0,0.0
2020-05-30,80,65,0.09,0.0
2020-05-31,68,50,0.0,0.0
2020-06-01,64,47,0.0,0.0
2020-06-02,64,49,0.02,0.0
2020-06-03,80,55,0.01,0.0
2020-06-04,89,59,0.0,0.0
2020-06-05,81,64,0.16,0.0
2020-06-06,89,62,0.14,0.0
2020-06-07,65,57,0.0,0.0
2020-06-08,79,55,0.0,0.0
2020-06-09,80,60,0.0,0.0
2020-06-10,66,58,0.0,0.0
2020-06-11,76,62,0.74,0.0
2020-06-12,84,65,0.0,0.0
2020-06-13,68,57,0.0,0.0
2020-06-14,66,53,0.0,0.0
2020-06-15,65,55,0.0,0.0
2020-06-16,70,55,0.0,0.0
2020-06-17,73,56,0.0,0.0
2020-06-18,88,62,0.0,0.0
2020-06-19,87,68,0.0,0.0
2020-06-20,92,69,0.0,0.0
2020-06-21,87,67,0.0,0.0
2020-06-22,71,62,0.0,0.0
2020-06-23,88,63,0.0,0.0
2020-06-24,86,68,0.01,0.0
2020-06-25,86,69,0.0,0.0
2020-06-26,86,67,0.0,0.0
2020-06-27,83,65,0.02,0.0
2020-06-28,81,64,1.19,0.0
2020-06-29,73,63,0.19,0.0
2020-06-30,68,63,0.18,0.0
2020-07-01,72,63,0.07,0.0
2020-07-02,85,64,0.0,0.0
2020-07-03,77,62,0.0,0.0
2020-07-04,70,61,0.0,0.0
2020-07-05,79,64,0.11,0.0
2020-07-06,70,63,0.0,0.0
2020-07-07,80,62,0.0,0.0
2020-07-08,85,67,0.0,0.0
2020-07-09,86,72,0.0,0.0
2020-07-10,78,69,0.0,0.0
2020-07-11,89,69,0.01,0.0
2020-07-12,89,72,0.0,0.0
2020-07-13,85,69,0.07,0.0
2020-07-14,76,66,0.62,0.0
2020-07-15,70,62,0.07,0.0
2020-07-16,69,60,0.0,0.0
2020-07-17,74,59,0.11,0.0
2020-07-18,91,68,0.0,0.0
2020-07-19,95,70,0.0,0.0
2020-07-20,93,75,0.0,0.0
2020-07-21,90,74,0.0,0.0
2020-07-22,79,68,0.32,0.0
2020-07-23,89,68,0.57,0.0
2020-07-24,79,70,0.0,0.0
2020-07-25,84,68,0.0,0.0
2020-07-26,91,73,0.0,0.0
2020-07-27,95,75,0.0,0.0
2020-07-28,95,78,0.0,0.0
2020-07-29,87,73,0.0,0.0
2020-07-30,87,70,0.0,0.0
2020-07-31,77,68,0.0,0.0
2020-08-01,81,69,0.0,0.0
2020-08-02,87,70,0.07,0.0
2020-08-03,92,73,0.0,0.0
2020-08-04,79,70,0.17,0.0
2020-08-05,92,70,0.0,0.0
2020-08-06,84,68,0.0,0.0
2020-08-07,76,65,0.0,0.0
2020-08-08,78,66,0.0,0.0
2020-08-09,91,67,0.0,0.0
2020-08-10,94,72,0.0,0.0
2020-08-11,94,73,0.0,0.0
2020-08-12,93,74,0.0,0.0
2020-08-13,84,68,0.0,0.0
2020-08-14,80,68,0.0,0.0
2020-08-15,70,64,0.0,0.0
2020-08-16,71,64,0.16,0.0
2020-08-17,71,62,0.08,0.0
2020-08-18,86,66,0.16,0.0
2020-08-19,74,64,0.06,0.0
2020-08-20,81,61,0.0,0.0
2020-08-21,89,63,0.0,0.0
2020-08-22,79,70,0.0,0.0
2020-08-23,89,66,1.33,0.0
2020-08-24,87,67,0.0,0.0
2020-08-25,89,68,0.0,0.0
2020-08-26,75,61,0.0,0.0
2020-08-27,66,60,0.18,0.0
2020-08-28,82,61,0.0,0.0
2020-08-29,76,65,0.07,0.0
2020-08-30,77,63,0.0,0.0
2020-08-31,71,58,0.0,0.0
2020-09-01,72,59,0.0,0.0
2020-09-02,71,62,0.2,0.0
2020-09-03,77,66,0.01,0.0
2020-09-04,85,68,0.0,0.0
2020-09-05,78,61,0.0,0.0
2020-09-06,78,63,0.0,0.0
2020-09-07,81,63,0.0,0.0
2020-09-08,79,61,0.0,0.0
2020-09-09,77,63,0.0,0.0
2020-09-10,82,68,0.25,0.0
2020-09-11,74,57,0.0,0.0
2020-09-12,67,53,0.0,0.0
2020-09-13,75,55,0.0,0.0
2020-09-14,77,54,0.0,0.0
2020-09-15,61,49,0.0,0.0
2020-09-16,73,51,0.0,0.0
2020-09-17,78,58,0.0,0.0
2020-09-18,66,51,0.0,0.0
2020-09-19,60,46,0.0,0.0
2020-09-20,60,44,0.0,0.0
2020-09-21,61,45,0.0,0.0
2020-09-22,66,45,0.0,0.0
2020-09-23,80,55,0.0,0.0
2020-09-24,79,61,0.0,0.0
2020-09-25,72,58,0.0,0.0
2020-09-26,75,58,0.0,0.0
2020-09-27,77,63,0.0,0.0
2020-09-28,81,63,0.05,0.0
2020-09-29,79,62,0.0,0.0
2020-09-30,74,58,0.46,0.0
2020-10-01,76,58,0.0,0.0
2020-10-02,65,53,0.02,0.0
2020-10-03,64,49,0.0,0.0
2020-10-04,63,49,0.0,0.0
2020-10-05,63,52,0.0,0.0
2020-10-06,70,50,0.0,0.0
2020-10-07,75,55,0.02,0.0
2020-10-08,63,48,0.0,0.0
2020-10-09,60,42,0.0,0.0
2020-10-10,78,54,0.0,0.0
2020-10-11,67,51,0.0,0.0
2020-10-12,54,50,0.0,0.0
2020-10-13,58,51,1.5,0.0
2020-10-14,70,51,0.0,0.0
2020-10-15,72,48,0.0,0.0
2020-10-16,71,50,0.77,0.0
2020-10-17,58,42,1.16,0.0
2020-10-18,58,40,0.0,0.0
2020-10-19,58,44,0.0,0.0
2020-10-20,67,49,0.0,0.0
2020-10-21,65,56,0.06,0.0
2020-10-22,67,54,0.0,0.0
2020-10-23,62,55,0.0,0.0
2020-10-24,70,46,0.0,0.0
2020-10-25,50,43,0.0,0.0
2020-10-26,53,48,0.01,0.0
2020-10-27,54,44,0.0,0.0
2020-10-28,51,44,0.27,0.0
2020-10-29,49,43,0.91,0.0
2020-10-30,44,30,0.26,4.3
2020-10-31,42,28,0.0,0.0
2020-11-01,50,37,0.62,0.0
2020-11-02,44,33,0.0,0.0
2020-11-03,43,32,0.0,0.0
2020-11-04,54,33,0.0,0.0
2020-11-05,70,49,0.0,0.0
2020-11-06,72,55,0.0,0.0
2020-11-07,74,49,0.0,0.0
2020-11-08,70,49,0.0,0.0
2020-11-09,62,45,0.0,0.0
2020-11-10,75,48,0.0,0.0
2020-11-11,73,56,0.01,0.0
2020-11-12,66,47,0.0,0.0
2020-11-13,49,40,0.22,0.0
2020-11-14,49,38,0.0,0.0
2020-11-15,58,33,0.34,0.0
2020-11-16,53,42,0.05,0.0
2020-11-17,48,35,0.0,0.0
2020-11-18,35,23,0.0,0.0
2020-11-19,46,22,0.0,0.0
2020-11-20,64,45,0.0,0.0
2020-11-21,62,42,0.0,0.0
2020-11-22,47,35,0.0,0.0
2020-11-23,59,36,1.81,0.0
2020-11-24,44,29,0.0,0.0
2020-11-25,51,27,0.01,0.0
2020-11-26,59,40,0.29,0.0
2020-11-27,55,39,0.0,0.0
2020-11-28,54,41,0.0,0.0
2020-11-29,52,38,0.0,0.0
2020-11-30,63,38,0.85,0.0
2020-12-01,63,42,0.41,0.0
2020-12-02,43,35,0.0,0.0
2020-12-03,50,33,0.0,0.0
2020-12-04,58,40,0.02,0.0
2020-12-05,47,33,1.72,0.3
2020-12-06,37,29,0.0,0.0
2020-12-07,35,27,0.0,0.0
2020-12-08,31,26,0.0,0.0
2020-12-09,36,24,0.0,0.0
2020-12-10,45,34,0.0,0.0
2020-12-11,51,28,0.0,0.0
2020-12-12,47,35,0.5,0.0
2020-12-13,59,40,0.0,0.0
2020-12-14,40,34,0.06,0.0
2020-12-15,36,23,0.0,0.0
2020-12-16,30,16,0.04,0.4
2020-12-17,32,21,1.3,12.3
2020-12-18,30,21,0.0,0.0
2020-12-19,31,17,0.0,0.0
2020-12-20,36,26,0.03,0.0
2020-12-21,37,27,0.0,0.0
2020-12-22,44,32,0.0,0.0
2020-12-23,38,30,0.0,0.0
2020-12-24,53,30,0.0,0.0
2020-12-25,60,40,1.49,0.0
2020-12-26,40,28,0.0,0.0
2020-12-27,38,25,0.0,0.0
2020-12-28,49,28,0.0,0.0
2020-12-29,42,24,0.0,0.0
2020-12-30,41,24,0.0,0.0
2020-12-31,45,33,0.1,0.0
